County;Agency_Name;Trading_Name;Address;Licence_Number;Phone;Email;Website;Covered_Fields
Dublin;3D Personnel Limited;;Block 9 Airvista Office Park Swords Road Santry Dublin 9 D09 C8X9;EA3321;+35315133101;dublin@3dpersonnel.com;https://3dpersonnel.com;Construction, Finance & Accounting, Engineering
Dublin;A Willi Ltd;;Silverdale Bealinstown Balheary Co. Dublin K67 A0H2;EA4666;+353896006906;admin@awilli.ie;https://www.awilligroup.com/contact-us/;General Recruitment
Dublin;A & G Coyle Group Limited;Coyle Group Ltd;51 Bracken Road Sandyford Dublin 18 D18 CV48;EA3644;+35319038450;info@coyle-group.com;https://www.coyle-group.com;Technical, Healthcare, Industrial, Construction
Dublin;ABLM Manpower Limited;Properhealthcare Plus;First Floor Templecourt Blackrock Co. Dublin A94 K6K2;EA5200;+35340481222;admin@properhealthcarestaffing.com;https://www.properhealthcarestaffing.com/;Healthcare, Care
Dublin;ABM Aviation UK Ltd;Blackjack Promotions;12 Muirfield Drive Naas Road Inchicore Dublin 8;EA4051;+353874125428;;;Driving, General Recruitment, Admin & Office
Dublin;Access Nursing Limited;Access Healthcare;2 Westland Square Pearse Street Co. Dublin D02 V960;EA4003;+35319015270;info@accesshealthcare.ie;https://accesshealthcare.ie/;Healthcare, Care
Dublin;Accountancy and Business Personnel Limited;Accountancy Solutions;Merchants Hall 25-26 Merchants Quay Dublin 8;EA1077;+35316797990;info@accountancysolutions.ie;https://www.accountancysolutions.ie/;Finance & Accounting, HR, Public
Dublin;Accountancy Professionals Limited;ACCPRO;43 Fitzwilliam Place Dublin 2;EA3379;+35316522444;info@accpro.ie;https://accpro.ie;Finance & Accounting, Legal, Audit, Industrial
Dublin;Ach Capital Limited;;Glandore 16 Fitzwilliam Place Dublin 2;EA5125;;;;Finance & Accounting
Dublin;Acourt Recruitment Services Ltd;Hynes Agency;52 Lower O'Connell Street Dublin 1. Co. Dublin;EA3777;+35318728170;;https://www.hynesagency.ie/;Care, Healthcare
Dublin;Act1 Group-Agile1 Ireland Limited;Agile-1, Agileone;Pelham House South County Business Park Leopardstown Dublin 18;EA3891;;info@agile1.com | ireland@agile1.com;https://agile-one.com;General Recruitment
Dublin;Acumen Resources Search Company Limited;Acumen Resources;54 St Margaret's Road Malahide Co. Dublin K36R761;EA4222;+35316099400;ireland@acumen-resources.com;https://acumen-resources.com;Actuarial, Consulting, Insurance, HR
Dublin;Acutis Recruitment Limited;Acutis Recruitment;Unit 4, First Floor 84 Strand Street Skerries Co. Dublin K34VW93;EA5246;;;;General Recruitment
Dublin;Adamantine Recruitment Limited;;2B Dunsoghly Drive Finglas Dublin 11 D11 VX51;EA5114;+353873413483;info@adamantine.ie;https://adamantine.ie;General Recruitment
Dublin;Adaptive HVM Ltd;;20 Stephen Street Lower First Floor Dublin 2 D02 DT04;EA3782;+35318366827;info@adaptivehvm.com;https://adaptivehvm.com;Factory
Dublin;Advanced Clinical Research Services Ireland Ltd;;Simmonscourt House Simmonscourt Road Dublin 4 D04 W9H6;EA5093;+35315363281;;https://www.advancedclinical.com;Healthcare, Science, Biotech, Pharma
Dublin;Aer Resources Agency Services Limited;;No 1 Grants Row Lower Mount Street Dublin 2;EA4209;;;;General Recruitment
Dublin;Aeroprofessional Recruitment Limited;Aeroprofessional Recruitment Limited;38 Main Street Swords Co. Dublin;EA4353;;admin@aeroprofessional.com | dublin@aeroprofessional.com;https://aeroprofessional.com;Aviation
Dublin;Affinity Healthcare Ltd;Total Healthcare Partnership;Trinity House Charelston Road Ranelagh Dublin 6 D06C8X4;EA5284;;;;Healthcare, Care
Dublin;Africare Agency Limited;;9 Churchwell Grove Belmayne Dublin 13;EA5244;+353899645654;info@africare.ie;https://africare.ie;Care, General Recruitment
Dublin;Agility Employment Limited;;First Floor 54 Dawson Street Dublin 2 Dublin 2 DO2 XW44;EA4686;+35316874888;hello@recruitergroup.com;https://recruiter.ie/;Hospitality, Retail, Admin & Office
Dublin;AII Limited;Odgers Berndtson;Embassy House Herbert Park Ballsbridge Dublin 4 D04 H6Y0;EA1069;+3536697030;;https://www.odgers.com/en-ie/;Board level
Dublin;Airborne Personnel Limited;;One Earlsfort Centre Lower Hatch Street Dublin 2;EA5331;;;https://airbornepersonnel.info/;Aviation
Dublin;Aire Care Technologies Ltd;;42 Mount Street Upper c/o The Nightingale Dublin 2 D02X3P2;EA5135;+35315242659 | +353830493377;info@airecare.ie;https://airecare.ie/;Care
Dublin;Airport Driving School Ltd;Drivers 5-Star Employment Agency;Eagle House Fields Corner Lower Churchtown Road Churchtown Dublin 14 D14YT66;EA3613;+35318068000;;https://airportdrivingschool.com/;Driving, Logistics & Warehousing
Dublin;Ajilon (UK) Limited;Spring Technology / Modis Ireland;Grafter Offices 10 Ely Place Dublin 2 D02HR98;EA1253;;;;Tech & Data Science, Engineering, Business Services
Dublin;Akeso Healthsearch Ltd;;20 Essex Street E Temple Bar Dublin 2 D02F670;EA3979;;enquiries@akesohealthsearch.com;https://akesohealthsearch.com/;Healthcare
Dublin;Alexander Mann Outsourcing Solutions Ltd;;Trinity House Charleston Road Ranelagh Dublin 6 D06 C8X4;EA3549;;;;General Recruitment
Dublin;Alldus International Consulting Limited;;The G.E.C. Taylor's Lane Dublin 8 Dublin 8 D08 ET2R;EA4316;+35315136666;info@alldus.com;https://alldus.com;Tech & Data Science
Dublin;Allegis Global Solutions;Allegis Global Solutions KFT;Ella House by Soonbrook Merrion Sq E Dublin 2 D02NP96;EA4693;;;https://www.allegisglobalsolutions.com/ | https://www.allegisgroup.com/;General Recruitment
Dublin;Allegis Global Solutions Limited;Allegis Global Solutions;Ella House by Soonbrook - Merrion Square E Merrion Square E Dublin 2 D02 NP96;EA4486;;;https://www.allegisglobalsolutions.com | https://www.allegisgroup.com/;General Recruitment, Admin & Office
Dublin;Allegis Group Limited;Allegis Group, Aerotek, Aston Carter Teksystems, Teksystems;Ella House by Soonbrook Merrion Square E Dublin 2 D02 NP96;EA4484;;;https://www.allegisgroup.com;General Recruitment, Tech & Data Science, Finance & Accounting, Sales, Healthcare
Dublin;Allen Outsource Ltd;;19 Pembroke Street Upper Co. Dublin D02K738;EA5338;+35316694040;info@allenrec.com;https://www.allenrec.com;General Recruitment
Dublin;Allen Recruitment Consulting Limited;Allen Recruitment Consulting;19 Upper Pembroke Street Dublin 2;EA1427;+35316694040;info@allenrec.com;https://www.allenrec.com;Tech & Data Science, Finance & Accounting, Healthcare, Engineering
Dublin;Allied and Clinical Recruitment Limited;;Block 1 Blanchardstown Corporate Park Ballycoolin Road Blanchardstown Dublin 15 D15;EA4962;;;;Healthcare, General Recruitment
Dublin;Alpha Workforce Limited;;21 Priory Office Close Stillorgan Co. Dublin A94 F660;EA4216;;;;Hospitality, Cleaning, General Recruitment
Dublin;Angel Care Consultancy Ltd;;Ashleigh House JFK Industrial Estate JFK Road Dublin 12 D12VE06;EA4698;+35314659956 | +353831072792;;;Healthcare
Dublin;Angela Luciane Bettio;Meat Staff and ALB Global Recruitment;9 Ashton Lawns Ashton Broc Swords Co. Dublin K67X895;EA4883;+353874557356;angela@albrecruitment.com;https://www.meatstaff.com/index-en.html | https://albrecruitment.com/;Factory
Dublin;Angelic Recruitment Agency Ltd;;1 Hastings Avenue Balbriggan Co. Dublin K32 EV62;EA4563;+353857742744;support@angelicrecruitment.ie;https://angelicrecruitment.ie;Care, General Recruitment
